Reviewer Name,Review Date,Star Rating,Review Text,Total Reviews by Reviewer,Total Photos by Reviewer,Is Local Guide,Number of Images,Image URLs,Price per Person,Food Rating,Service Rating,Atmosphere Rating,Recommended Dishes
Trish Wright,6 months ago,5,Great food and lovely staff,26,3,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Simon Nolan,3 years ago,5,"I have dropped in and had their Full English Breakfasts a few times over the years whilst out biking - Always been a nice and friendly pub - No frills, basic food but it is tasty, hot and service has always been great and worth the money.",47,5,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Bruce Parker,a year ago,5,"No longer a Wetherspoons, but still a nice pub that sells reasonably priced beers.",3,1,False,0,,Not found,Not rated,Not rated,Not rated,Not found
ian jones,3 years ago,5,"Usual excellent spoons experience. But what stands the Peel aside for me, is the obvious care of their cask beers. They serve a Doom Bar I have tasted no better than from  Cornwall. Sublime",14,6,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Sheila Whitehead,11 months ago,5,"Went there with family 6th November enjoyed the food good
Atmosphere",13,2,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Terence Oconnell,2 months ago,5,Great place to relax.,219,1,True,0,,Not found,5,5,5,Not found
Andy Mccluskey,5 years ago,5,"Just look in any town for a pub with hanging baskets and you know it's a Wetherspoons. Cheap 'n'  cheerful. A good selection of beers, draught and bottled, food is down to earth pub grub. Does get very busy on market days with shoppers ordering food so expect service to take a little longer.",9,12,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Gina Wilsdon,a year ago,5,Lovely atmosphere and friendly service. Food was lovely too.,33,No photos count,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Chris Dooner,2 years ago,5,"Very professional set up, maybe this system works, especially if you know what you want and order on app.. Food was tasty although never fan of the chips served in wetherspoons",64,26,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Matthew Clark,2 years ago,5,"Quick friendly service. Food was great, would greatly recommend the chicken wings and the empire state burger. Staff here amazing",19,5,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Paul McElroy,a year ago,5,"Nice pub...
I let rip a cracker in the toilet... a real booming effort...the cubicle returned an excellent loud and clearly defined echo. Well done.",17,No photos count,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Colin Ward,a year ago,5,They might not do steaks but what they do do they do great👍 what a lovely afternoon great staff great food well done  we will come back …,26,5,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Janice Cooke,a year ago,5,Would certainly recommend. Had a lovely meal for a really good price.,83,14,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Neil Fairhurst,a year ago,5,"Great pub, polite and friendly staff, speedy service and great prices",152,21,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Paul Gaskell,8 months ago,5,"Former Wetherspoons, great lunch break when doing Bury Markets",660,1817,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Mary Hartley,11 months ago,5,"Welcoming pub with real ale, great food and efficient service.",405,717,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Deborah Skelhorn,2 years ago,5,Awsome place ...typical spoons uniqueness food great ...go back week after week ...love curry nights now every night,19,7,True,0,,Not found,Not rated,Not rated,Not rated,Not found
David Davies,5 months ago,5,Great place to eat and drink,11,No photos count,False,0,,Not found,Not rated,Not rated,Not rated,Not found
David Wilsher,7 months ago,5,"Good night on a Saturday now, especially with the Dj on.",113,117,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Jim Wolstencroft,a year ago,5,Good service. Cheap beer. Nice friendly customers. Friendly and efficient staff,360,17,True,0,,Not found,Not rated,Not rated,Not rated,Not found
neil barlow,a month ago,5,Good breakfast welcoming staff and always pleasant,107,34,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Christopher Dutton,8 months ago,5,Good beers 🍻 was a spoons bar it's independent company. …,115,1043,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Too Blond,3 years ago,5,Fantastic value for money! I've always enjoyed my breakfast. The staff are friendly  & helpful.,11,4,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Paul Stanley,2 years ago,5,Quite a plain place compared to other Weatherspoon s but good value across food and beer,87,No photos count,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Vincent Gabbitus,a year ago,5,Not a wetherspoons anymore but still a great pub good food,65,71,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Anita Thornton,a year ago,5,Had drinks in there Saturday  nite was karaoke on in there till late had a good evening  x,90,90,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Carrie Dennis,3 years ago,5,Food lovely and hot and pub very on Saturday afternoon noon we just got the last table.will visit again.,64,97,True,0,,Not found,Not rated,Not rated,Not rated,Not found
martin bill,a year ago,5,"Nice pub, good food pay for what you get..

Cheap prices for a good pint.  Friendly staff. 😀 …",211,48,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Debra Gibbons,3 years ago,5,Great lovely staff food was good there was a young man training he was polite efficient and smart bit nervous but he will be ok the staff we very good,171,39,True,0,,Not found,Not rated,Not rated,Not rated,Not found
